date,progyear,name,bnp,al,kpi,ranta,kpif,fso,u_def,p_def
1994-01-01,1994,FiD,"2,40","8,00","2,50",,,,OPEN,KPIZZZ
1994-04-01,1994,FiD,"2,40","8,00","1,60",,,,OPEN,KPIZZZ
1994-11-01,1994,FiD,"2,50","8,00","2,20",,,,OPEN,KPIZZZ
1995-01-01,1995,FiD,"2,60","6,80","2,90",,,,OPEN,KPIZZZ
1995-04-01,1995,FiD,"2,50","7,00","2,90",,,,OPEN,KPIZZZ
1995-10-01,1995,FiD,"3,50","7,50","2,90",,,,OPEN,KPIZZZ
1996-04-01,1996,FiD,"1,40","7,20","1,60",,,,OPEN,KPIZZZ
1996-09-12,1996,FiD,"1,60","7,70","1,20",,,,OPEN,KPIZZZ
1997-04-09,1997,FiD,"2,30","7,90","0,60",,,,OPEN,KPIZZZ
1997-09-11,1997,FiD,"2,30","8,40","1,10",,,,OPEN,KPIZZZ
1998-04-06,1998,FiD,"3,00","6,70","0,90",,,,OPEN,KPIZZZ
1998-10-05,1998,FiD,"3,00","6,60","0,50",,,,OPEN,KPIZZZ
1998-12-15,1998,FiD,"2,80","6,60","0,40",,,,OPEN,KPIZZZ
1999-03-31,1999,FiD,"2,20","5,80","0,20",,"1,20",,OPEN,KPIX
1999-09-09,1999,FiD,"3,60","5,40","0,30",,"1,30",,OPEN,KPIX
2000-03-30,2000,FiD,"3,80","4,60","1,30",,"1,30",,OPEN,KPIX
2000-09-07,2000,FiD,"3,90","4,60","1,20",,"1,30",,OPEN,KPIX
2001-03-29,2001,FiD,"2,70","3,90","1,50",,"1,60",,OPEN,KPIX
2001-09-06,2001,FiD,"1,70","3,90","2,60",,"2,60",,OPEN,KPIX
2002-05-04,2002,FiD,"1,40","4,30","2,10",,"2,30",,OPEN,KPIX
2002-10-03,2002,FiD,"2,10","3,90","2,30",,"2,50",,OPEN,KPIX
2003-04-08,2003,FiD,"1,40","4,50","2,40",,"2,60",,OPEN,KPIX
2003-09-22,2003,FiD,"1,40","4,70","2,00",,"2,20",,OPEN,KPIX
2004-04-15,2004,FiD,"2,50","5,50","0,40",,"0,80",,OPEN,KPIX
2004-09-20,2004,FiD,"3,50","5,60","0,60",,"1,00",,OPEN,KPIX
2005-04-14,2005,FiD,"3,20","5,00","0,50","2,00","0,70",,OPEN,KPIX
2005-09-20,2005,FiD,"2,40","5,90","0,30","1,50","0,70",,OPEN,KPIX
2006-04-18,2006,FiD,"3,60","4,90","1,40","2,50","1,30",,OPEN,KPIX
2006-10-16,2006,FiD,"4,00","5,60","1,60","3,00","1,30",,OPEN,KPIX
2007-04-16,2007,FiD,"3,70","4,70","1,80","3,50","0,80",,OPEN,KPIX
2007-09-20,2007,FiD,"3,20","4,40","2,20","4,00","1,20",,OPEN,KPIX
2008-04-15,2008,FiD,"2,10","5,80","3,20","4,25","2,20",,ILO,KPIX
2008-08-22,2008,FiD,"1,50","6,00",,,,,ILO,KPIZZZ
2008-09-22,2008,FiD,"1,50","5,90","3,80","4,50","3,00",,ILO,KPIF
2008-12-16,2008,FiD,"1,00","6,10","3,50","2,00",,,ILO,KPIZZZ
2009-04-15,2009,FiD,"-4,20","8,90","-0,40","0,25","1,60","-2,70",EU,KPIF
2009-08-21,2009,FiD,"-5,20","8,80",,,,"-2,40",EU,KPIZZZ
2009-09-21,2009,FiD,"-5,20","8,80","-0,40","0,25","1,80","-2,20",EU,KPIF
2009-11-19,2009,FiD,"-4,90","8,50","-0,40",,,,EU,KPIZZZ
2010-01-27,2010,FiD,"3,00","9,50","1,30",,,,EU,KPIZZZ
2010-04-15,2010,FiD,"2,50","9,20","1,30","1,00","2,20","-1,30",EU,KPIF
2010-07-05,2010,FiD,"3,30","8,90","1,10",,"2,00","-1,50",EU,KPIF
2010-08-20,2010,FiD,"4,50","8,30",,,,"-1,10",EU,KPIZZZ
2010-10-12,2010,FiD,"4,80","8,40","1,20","1,25","2,00","-1,30",EU,KPIF
2011-03-03,2011,FiD,"4,80","7,40","2,40",,,,EU,KPIZZZ
2011-04-12,2011,FiD,"4,60","7,30","2,50","2,25","1,10","0,30",EU,KPIF
2011-08-26,2011,FiD,"4,10","7,50","3,00",,"1,40","0,10",EU,KPIF
2011-09-20,2011,FiD,"4,10","7,50","3,00","2,00","1,40","0,10",EU,KPIF
2012-04-16,2012,FiD,"0,40","7,80","1,20","1,00","1,00","-0,30",EU,KPIF
2012-07-04,2012,FiD,"1,10","7,50",,,,,EU,KPIZZZ
2012-08-24,2012,FiD,"1,60","7,60","1,00",,"1,00","-0,30",EU,KPIF
2012-09-20,2012,FiD,"1,60","7,60","1,00","1,50","1,00","-0,30",EU,KPIF
2012-12-21,2012,FiD,"0,90","7,70","0,90",,"1,00","-0,40",EU,KPIF
2013-04-15,2013,FiD,"1,20","8,30","0,50","1,00","1,10","-1,60",EU,KPIF
2013-07-04,2013,FiD,"1,30","8,40","0,20",,"1,00","-1,30",EU,KPIF
2013-08-23,2013,FiD,"1,20","8,20","0,10",,"1,00","-1,50",EU,KPIF
2013-09-18,2013,FiD,"1,20","8,20","0,10","1,00","1,00","-1,20",EU,KPIF
2013-12-19,2013,FiD,"1,00","8,00","0,00",,"0,80",,EU,KPIF
2014-02-20,2014,FiD,"2,50","7,70","0,20",,"1,00","-1,90",EU,KPIF
2014-04-09,2014,FiD,"2,70","7,70","0,20","0,75","0,80","-1,60",EU,KPIF
2014-07-04,2014,FiD,"2,50","7,90","0,00",,"0,50","-1,90",EU,KPIF
2014-08-23,2014,FiD,"1,90","7,90","-0,10",,"0,60","-2,20",EU,KPIF
2014-10-13,2014,FiD,"2,10","7,90","0,00",,"0,60","-2,20",EU,KPIF
2014-10-23,2014,FiD,"2,10","7,90","0,00","0,25","0,60","-2,20",EU,KPIF
1994-01-01,1995,FiD,"2,90","7,20","2,80",,,,OPEN,KPIZZZ
1994-04-01,1995,FiD,"3,00","7,20","2,70",,,,OPEN,KPIZZZ
1994-11-01,1995,FiD,"3,40","7,00","3,20",,,,OPEN,KPIZZZ
1995-01-01,1996,FiD,"2,90","6,10","3,70",,,,OPEN,KPIZZZ
